publication_number,title,abstract
US-9939791-B2,Information providing device and non-transitory computer readable medium storing information providing program,"An information providing device includes an agent ECU that sets a reward function through the use of history data on a response, from a driver, to an operation proposal for an in-vehicle component, and calculates a probability distribution of performance of each of actions constructing an action space in each of states constructing a state space, through reinforced learning based on the reward function. The agent ECU calculates a dispersion degree of the probability distribution. The agent ECU makes a trial-and-error operation proposal to select a target action from a plurality of candidates and output the target action when the dispersion degree of the probability distribution is equal to or larger than a threshold, and makes a definitive operation proposal to fix and output a target action when the value of the dispersion degree of the probability distribution is smaller than the threshold."
US-9900921-B2,"Communication control method, electronic device, and storage medium","A method of controlling communication of an electronic device is provided. The method includes detecting a first peripheral device through a first communication module of the electronic device, which supports a first communication type, acquiring group information on a group of peripheral devices, to which the first peripheral device belongs, based on first identification information of the first peripheral device, and detecting a second peripheral device belonging to the group through a second communication module of the electronic device, which supports a second communication type, based on the group information."
US-8303165-B2,Magnetic stirring mechanism,"The present invention provides a stirring mechanism with magnetic force. It has a central rotary arm with permanent magnet, as well as a plurality of lever arms, each having one respective permanent magnet. A track disk rotates synchronously with the central rotary arm. An elliptic track slot in the track disk traps the lever arms to swing forward and backward. The lever arms exhibit alternate motions of approaching and leaving, thereby causing a stirring effect."
US-2018222566-A1,Ballast water treatment apparatus,"An apparatus for treating ballast water comprising a ballast water inlet, a treated ballast water outlet, a filter and a water treatment unit, the filter and the water treatment unit being arranged sequentially between the ballast water inlet and the ballast water outlet; and a further comprising a water monitoring unit, the water monitoring unit being operable to monitor at least one parameter of the water passing through the apparatus., An apparatus for treating ballast water comprising a ballast water inlet, a treated ballast water outlet, a filter and a water treatment unit, the filter and the water treatment unit being arranged sequentially between the ballast water inlet and the ballast water outlet; and a further comprising a water monitoring unit, the water monitoring unit being operable to monitor at least one parameter of the water passing through the apparatus."
US-7733942-B2,Interference reduction receiving device and method thereof,"A receiving device and a receiving method enabling the high-speed and high-accuracy interference reducing process are provided. The interference reduction receiving device despreading digital signal at a plurality of timings, multiplying each of the signals after being despread by a weight and combining the signals, comprises an estimation unit estimating channel response vector having, as elements, channel estimation values corresponding to the respective timings based on the digital signal, a quantizing unit quantizing the digital signal in the vicinity of the respective timings, a signal correlation matrix generation unit generating a signal correlation matrix having, as the element, each signal correlation value calculated based on the respective quantized signals, and an weight calculating unit calculating the weight based on the channel response vector and the signal correlation matrix."
US-D336272-S,Automobile tire,
US-7486439-B2,"Projection optical system, exposure apparatus and device fabricating method","There is provided a projection optical system for projecting a pattern on an object surface onto an image surface in a reduced size. The projection optical system comprising six reflective surfaces that include, in order of reflecting light from the object surface, a first reflective surface, a second convex reflective surface, a third convex reflective surface, a fourth reflective surface, a fifth reflective surface and a sixth reflective surface, and an aperture stop along an optical path between the first and second reflective surfaces. And the following condition is met, where L 1  is an interval between the object surface and the surface apex that is the closest to the object surface, and L 2  is an interval between the surface apex of the first reflective surface and the surface apex that is the closest to the object surface: 
     
       
         
           
             0.75 
             &lt; 
             
               
                 L 
                 ⁢ 
                 
                     
                 
                 ⁢ 
                 1 
               
               
                 L 
                 ⁢ 
                 
                     
                 
                 ⁢ 
                 2 
               
             
             &lt; 
             
               1.25 
               ."
US-6601251-B2,Height adjustable medical bed including intermediate upper and lower stop positions,"A medical bed including a frame supported on pivoted support members wherein pivoting of the support members results in vertical movement of a patient support surface of the bed. The pivoting of the support members is accomplished by motors which are actuated by a control circuit operating in response to operator actuated switches. The bed is movable between uppermost and lowermost positions wherein a lower intermediate position is provided adjacent to and vertically spaced from the lowermost position, and an upper intermediate position is provided adjacent to and vertically spaced from the uppermost position. The controller operates to automatically stop vertical movement of the bed when it reaches either the lower intermediate position or the upper intermediate position. In addition, one of the support members for the bed includes rollers for engaging the floor surface, and the other support member includes a frictional engaging surface for engaging the floor surface at a substantially stationary position whereby vertical movement of the bed results in horizontal movement of the patient support surface."
US-8237697-B2,Amplifier circuits in which compensation capacitors can be cross-connected so that the voltage level at an output node can be reset to about one-half a difference between a power voltage level and a common reference voltage level and methods of operating the same,"A switch circuit includes a first capacitor, a second capacitor, and a switch arrangement that is operable to connect the first capacitor and the second capacitor in series between a first node that supplies a first voltage level and a second node that supplies a second voltage level, or to disconnect the first capacitor and the second capacitor from the first node and the second node, respectively, and to cross-connect the first capacitor and the second capacitor in response to a first control signal."
US-8893532-B2,Drum for a laundry treatment machine,"A laundry drum for a laundry treatment machine that is rotatable about an axis, wherein the laundry drum includes a drum jacket made of metal sheet, and wherein the drum jacket has throughflow holes and linear elevations that are distributed in a peripheral direction and that extend transversely to a periphery line. The linear elevations rise at a distance from one another in a straight or curved line from cylindrical regions of the laundry drum. Agitators are disposed on an inner periphery of the drum jacket and the throughflow holes are disposed in the cylindrical regions."
US-2012320308-A1,Transflective displays,A transflective display includes a backlight and a display stack. The display stack includes a liquid crystal layer and an addressing layer operatively connected to the liquid crystal layer. A white electro-optic layer is positioned between the backlight and the display stack.
US-6750268-B2,Bonding composition,"A tooth treated with a bonding composition with high initial bonding strength and good bonding durability comprising a mixture of polymerizable compound having an acid group, a water-soluble film-forming agent, water, and a curing agent, in which the calcium salt of the acid is insoluble in water, and the film-forming agent is a polymerizable compound miscible with a physiological saline solution, does not require any pre-treatment such as acid-etching or priming treatment., A tooth treated with a bonding composition with high initial bonding strength and good bonding durability comprising a mixture of polymerizable compound having an acid group, a water-soluble film-forming agent, water, and a curing agent, in which the calcium salt of the acid is insoluble in water, and the film-forming agent is a polymerizable compound miscible with a physiological saline solution, does not require any pre-treatment such as acid-etching or priming treatment."
US-7179039-B2,Vibration-damping ring insert arrangement and component connection arrangement incorporating the same,"Vibration-damping ring insert arrangement includes a vibration-damping ring. A hollow cylinder member includes a first end, a second end, and an inner surface that is connected to an outer surface of the vibration-dampening ring. One of an outwardly extending edge and outwardly extending edge segments is arranged at the second end. This Abstract is not intended to define the invention disclosed in the specification, nor intended to limit the scope of the invention in any way."
US-8384779-B2,Display device for vehicle,"A display device for a vehicle which includes: an image-taking unit which takes images of an area ahead of the vehicle at predetermined intervals; a display which displays the images taken by the image-taking unit; and a controller which divides a display area of the display into a plurality of areas including a center area and a right-and-left side area, wherein the controller sets a first interval for the image-taking unit for taking images to be displayed in the right-and-left side area of the display to become longer than a second interval for the image-taking unit for taking images to be displayed in the center area."
US-11243807-B2,"Systems, methods, and apparatuses for implementing a scheduler and workload manager with workload re-execution functionality for bad execution runs","In accordance with disclosed embodiments, there are provided systems, methods, and apparatuses for implementing a stateless, deterministic scheduler and work discovery system with interruption recovery. For instance, according to one embodiment, there is disclosed a system to implement a stateless scheduler service, in which the system includes: a processor and a memory to execute instructions at the system; a compute resource discovery engine to identify one or more computing resources available to execute workload tasks; a workload discovery engine to identify a plurality of workload tasks to be scheduled for execution; a cache to store information on behalf of the compute resource discovery engine and the workload discovery engine; a scheduler to request information from the cache specifying the one or more computing resources available to execute workload tasks and the plurality of workload tasks to be scheduled for execution; and further in which the scheduler is to schedule at least a portion of the plurality of workload tasks for execution via the one or more computing resources based on the information requested. Other related embodiments are disclosed., In accordance with disclosed embodiments, there are provided systems, methods, and apparatuses for implementing a stateless, deterministic scheduler and work discovery system with interruption recovery. For instance, according to one embodiment, there is disclosed a system to implement a stateless scheduler service, in which the system includes: a processor and a memory to execute instructions at the system; a compute resource discovery engine to identify one or more computing resources available to execute workload tasks; a workload discovery engine to identify a plurality of workload tasks to be scheduled for execution; a cache to store information on behalf of the compute resource discovery engine and the workload discovery engine; a scheduler to request information from the cache specifying the one or more computing resources available to execute workload tasks and the plurality of workload tasks to be scheduled for execution; and further in which the scheduler is to schedule at least a portion of the plurality of workload tasks for execution via the one or more computing resources based on the information requested. Other related embodiments are disclosed."
US-8941086-B2,Charged particle beam irradiation apparatus,"A charged particle beam irradiation apparatus includes: an irradiation section configured to irradiate an irradiated body with a charged particle beam; a gantry in which an irradiation section is disposed and which can rotate or oscillate around a central axis line; an enclosure in which the irradiated body is disposed; and a gantry-side transport line that has an inlet section on which a charged particle beam emitted from an accelerator is incident and that is supported on the gantry and configured to transport an incident charged particle beam to the irradiation section, in which the gantry has a first bearing section provided between the inlet section of the gantry-side transport line and the enclosure, and a second bearing section provided on a side opposite to the first bearing section with respect to the enclosure."
US-2006131508-A1,Systems and methods for improving position resolution of charge-sharing position sensitive detectors,An imaging system configured to provide improved position resolution is disclosed. The imaging system includes detector acquisition circuitry that is configured to acquire a plurality of rise-times and a plurality of amplitudes from a detector assembly that includes an array of one or more detector elements. The imaging system also includes position determining circuitry that is configured to determine a plurality of respective impact positions on each of the detector elements. The plurality of impact positions is based on at least the plurality of rise-times and the plurality of the amplitudes acquired by the detector acquisition circuitry.
US-4074479-A,Lawn edging,"An open bottomed trapezoidal box having horizontally outwardly extending flanges at the free edges is provided at intervals with clips which join the horizontal flanges and which join successive lengths of the linear open box sections. The linear sections may be straight, curved on one or more radii, or angular, for flexibility in forming any outline. Alternate embodiments of the clip are shown. The clip may be used in straight lengths whether the sections are curved, angular, or straight."
US-11633060-B2,Pressure cooking appliance with lid,"A pressure cooking appliance is provided. The pressure cooking appliance comprises a cooker body and a lid, the lid comprising an upper lid portion, and a lower lid portion lockingly covering the cooker body to form a pressurized cooking chamber therebetween. The upper lid portion covers the lower lid portion from above, and comprises a main lid body and a removable cover, the main lid body comprising an opening portion formed at a central portion of the main lid body for exposing the lower lid portion, the removable cover being removably attachable to the opening portion and operable to expose a portion of the lower lid portion for accelerated cooling of the cooking chamber and speeding up wait time for opening the lid. Further, cooling towel or cooling pack can be placed at the opening portion to help with cooling and allow food to be enjoyed sooner., A pressure cooking appliance is provided. The pressure cooking appliance comprises a cooker body and a lid, the lid comprising an upper lid portion, and a lower lid portion lockingly covering the cooker body to form a pressurized cooking chamber therebetween. The upper lid portion covers the lower lid portion from above, and comprises a main lid body and a removable cover, the main lid body comprising an opening portion formed at a central portion of the main lid body for exposing the lower lid portion, the removable cover being removably attachable to the opening portion and operable to expose a portion of the lower lid portion for accelerated cooling of the cooking chamber and speeding up wait time for opening the lid. Further, cooling towel or cooling pack can be placed at the opening portion to help with cooling and allow food to be enjoyed sooner."
US-D889098-S,Shoe,
US-D246011-S,Protector for male genitals,
US-4736356-A,Optical disk drive,"An optical disk drive of the type adapted to use an optical disk cartridge formed by an optical disk mounted about a hub within an enclosure. When inserted into the optical disk drive, the cartridge is received and supported by a pan. A control handle for controlling the disk drive can be rotated between a load position, a run position, a spin-down position, and an eject position. The handle is coupled to the pan by a linkage. When the handle is rotated to either its run or spin-down positions, the linkage positions the pan at a run/spin-down position at which the hub of the disk is engaged with a drive spindle. When rotated to either its load or eject positions, the linkage causes the pan to be in a load/eject position at which the cartridge can be inserted into or removed from the pan. The position of the handle is detected by optical sensors which provide signals representative thereof to control circuitry. The control circuitry activates a drive motor when the handle is in its run position, and deactivates the drive motor when the handle is moved to its spin-down position. A spin-down interlock mechanism is interfaced to the control circuitry and permits the handle to be rotated from the run position back to the load and eject positions only after a predetermined spin-down time period has elapsed after the handle has been rotated to the spin-down position. The cartridge is ejected from the disk drive when the handle is rotated to its eject position."
US-2008234370-A1,Calcilytic Compounds,Novel calcilytic compounds and methods of using them are provided.
US-2019095115-A1,"Method of managing integrated circuits cards, corresponding card and apparatus","A file update message received in an integrated circuit card in a mobile communication apparatus having apparatus memory causes the card content to be updated in compliance with the file update message. An apparatus memory refresh command issued from the card causes the apparatus memory to align automatically with the updated card content., A file update message received in an integrated circuit card in a mobile communication apparatus having apparatus memory causes the card content to be updated in compliance with the file update message. An apparatus memory refresh command issued from the card causes the apparatus memory to align automatically with the updated card content."
US-8910019-B2,Method and apparatus for veiling and detecting data using an error correcting code,An apparatus and method which uses error correcting code for veiling and detecting data is provided. The method includes encoding protected data using an Error Correcting Code (ECC); inserting a progression to the encoded protected data according to a preset rule; combining an error with the progression-inserted protected data; and storing the error-combined protected data in an arbitrary position in the memory.
US-8808797-B2,Method of manufacturing a gas barrier plastic container,"Methods of manufacturing a gas barrier plastic container include a method in which the inside of a vacuum chamber which houses a plastic container is exhausted to form a pre-set pressure, and while maintaining a state where electricity is supplied to a thermal catalyst arranged inside the vacuum chamber to generate heat above a pre-set temperature, a source gas is blown on the thermal catalyst to decompose the source gas and create chemical species, whereby a gas barrier thin film is formed by the chemical species reaching at least one of either the inner surface or the outer surface of the plastic container."
US-D690301-S,Wireless keyboard,
US-9072975-B2,Network dart game system for participating a tournament and method thereof,"The present invention relates to an electronic dart gaming apparatus using an Internet communication network and to a method for same, and more particularly, to an electronic dart gaming apparatus using an Internet communication network and to a method for same which notify of various contests and provide ways of directly participating in the contests using a plurality of electronic dart gaming apparatus uses connected through an Internet communication network without additional notification means such as a homepage or the like."
US-4494384-A,Apparatus for enhancing the performance of a vehicle air conditioning system,"An elongated cylinder is placed towards the front end of a vehicle such as an automobile at a lower level than the air conditioning unit evaporator drain and connected to the evaporator drain by a hose. This cylinder forms a reservoir, spray units are located at the ends or top of the reservoir and, condensate from the air conditioning unit in the reservoir is forced out of the reservoir into the spray units by internally applied air pressure. Outside air created by the vehicle forward movement is captured by one or more flanged pipes and provides the source for the internally applied air pressure. Condensate spray from the cylinder directed by the vehicle radiator fan flows onto the vehicle condenser core so as to assist in removing heat from the circulating freon sending a much cooler freon back into the vehicle."
US-10737472-B2,"Acrylic multilayered film with high weather resistance, and preparation method thereof","Provided is an acrylic multilayered film with high weather resistance, comprising an upper film and a lower film, wherein the upper film comprises a polyvinylidene fluoride and a first acrylic copolymer containing a first functional group, and the lower film comprises an acrylic thermoplastic resin and a second acrylic copolymer containing a second functional group., Provided is an acrylic multilayered film with high weather resistance, comprising an upper film and a lower film, wherein the upper film comprises a polyvinylidene fluoride and a first acrylic copolymer containing a first functional group, and the lower film comprises an acrylic thermoplastic resin and a second acrylic copolymer containing a second functional group."
US-2012079934-A1,"Pneumatic Drum Tuning Device, System and Method","A drum tune adjustment system is provided for adjusting the pitch of a drum having a shell, a batter head, a resonant head, and a cavity formed therewithin. The drum tune adjustment system includes an air pump or air source, and a conduit fluidly connected with the air pump or air source. The system further includes a connector that is configured to attach the conduit to the shell of the drum such that the cavity of the drum is fluidly connected with the air pump or air source via the conduit. The system further includes a pedal that is configured to actuate the air pump or open a valve that is fluidly connected with the air source and thereby move a mass of air between the air pump or air source and the cavity of the drum when the conduit is attached to the drum with the connector."
US-4663625-A,Passive tag identification system and method,"An identification system to be used in association with a set of objects or persons whereby any member of the set may be automatically identified while the member is located within a predetermined interrogation zone, wherein the system has an oscillator and field coils by which an oscillating electromagnetic field is established in the interrogation zone, an identification tag associated with each member of the set of objects or persons, each tag having a core strip of magnetically responsive material of a type which abruptly reaches saturation at a predetermined level of magnetic field, an electromagnetic coil wrapped around the strip, a switch connected with the coil, electronic circuitry for controlling the opening and closing of the switch according to a sequence in timed relation to the half cycles of the electromagnetic field, which sequence defines an identification code for the tag, and a first antenna connected to the circuitry where the circuitry may be operated by power derived from the electromagnetic field, a field detector for detecting and making measurements of the electromagnetic field in the interrogation zone, and a decoder for determining the identity of a tag according to the measurements."
US-9894532-B2,Apparatus and method of providing machine type communication,"In a wireless communications network providing a machine-type communications (MTC) service, a portion of a frequency spectrum is allocated to a MTC device to communicate between a base station and other MTC devices. MTC system information is transmitted/received from/to the MTC device through the portion of the frequency spectrum and may include channel information. The portion of the frequency spectrum may be used for a Long Term Evolution (LTE) wireless communication network."
US-PP25526-P3,Lobelia plant named ‘KLELE12095’,"A new  Lobelia  plant particularly distinguished by dark blue flowers, medium vigor, and medium earliness to flower, is disclosed."
US-11299848-B2,Hot iron covering assembly,"A hot iron covering assembly includes a panel that has a top side, a bottom side and a perimeter edge. The top side has a size and shape of a base of an iron. The panel comprises a flexible and heat resistant material. A securing member is configured to releasably secure the panel to the base of the iron., A hot iron covering assembly includes a panel that has a top side, a bottom side and a perimeter edge. The top side has a size and shape of a base of an iron. The panel comprises a flexible and heat resistant material. A securing member is configured to releasably secure the panel to the base of the iron."
US-7611817-B2,"Aromatic sulfonium salt compound, photo-acid generator comprising the same and photopolymerizable composition containing the same, resin composition for optical three-dimensional shaping, and method of optically forming three-dimensional shape","Novel aromatic sulfonium salt compounds of general formula (I), photo-acid generators comprising the same, and photo-polymerizable compositions containing the same, capable of providing stereolithographic resin compositions which do not suffer from the hindrance to curing by oxygen, can easily give shaped articles having desired sizes by virtue of the high accuracy thereof in curing, can attain a satisfactory curing depth owing to the high sensitivity thereof for radiant energy and can be employed for wide usage, such as photoresist and ink for foods-packing medium, since the release of benzene is suppressed; and a stereolithographic process, using said stereolithographic resin composition."
US-7126144-B2,Method for the contactless measurement of an object,"The invention relates to a method for the contactless measurement of an object in at least one dimension. An object is scanned in a spatially restricted effective zone of a scanning beam field and the size of the object in terms of the measured dimension is deduced by the detection of one or more interruptions in the scanning beams. The scanning beam field is constructed from a number of directly addressable individual beams. The beam-assisted scanning of the spatially restricted effective zone of the scanning beam field is carried out according to a predefinable pattern of steps, using a non-linear soiling method."
US-7814683-B2,Health footwear having improved heel,"Disclosed is a midsole ( 22 ) for a healthy shoe, which is easily and simply manufactured and comprises a tunnel portion ( 28 ) or an airbag ( 128 ) formed therein so that impact caused by the landing of a heel of the healthy shoe on the ground in a landing step and a gravity center-transferring step is uniformly applied to the heel of the shoe due to the rolling of the heel on the ground and discontinuous impact is not transferred to various parts of the body of a user, such as an ankle joint and a leg, and a method for manufacturing the same, thereby allowing the user to smoothly land on the ground and walk stably."
US-10759238-B2,Manual internal slip valve pneumatic tire seater,"A pneumatic tire seater configured to seat a tubeless tire on a rim has a manual internal slip (MIS) valve mounted on the end of a tank. A nozzle is mounted on one end of the MIS valve, and the other end extends partially into the air tank. The MIS valve has a slotted chamber with slotted chamber holes, and a slip cylinder that fits within the slotted chamber and has slip cylinder holes. A compression spring in the MIS valve exerts force on the slotted cylinder, pushing it forward to line up the cylinder holes with the slotted chamber holes and release the high pressure air from within the tank which goes through the MIS valve and out the nozzle., A pneumatic tire seater configured to seat a tubeless tire on a rim has a manual internal slip (MIS) valve mounted on the end of a tank. A nozzle is mounted on one end of the MIS valve, and the other end extends partially into the air tank. The MIS valve has a slotted chamber with slotted chamber holes, and a slip cylinder that fits within the slotted chamber and has slip cylinder holes. A compression spring in the MIS valve exerts force on the slotted cylinder, pushing it forward to line up the cylinder holes with the slotted chamber holes and release the high pressure air from within the tank which goes through the MIS valve and out the nozzle."
US-2006202392-A1,Tunable mask apparatus and process,"A process for re-shaping spheres in an exposed layer of spheres on a substrate having a substrate surface is disclosed. The process involves exposing the exposed layer of spheres to a low-angle ion beam, while maintaining the low-angle ion beam at a power level for a time sufficient to ablate the spheres in the exposed layer into respective spaced apart sphere segments which define a mask on the substrate surface. Two layers of spheres may be used, with only the outer, exposed layer being exposed to the low-angle ion beam, to cause the sphere segments of the exposed layer and spheres of the layer below to cooperate to define a mask having very small openings."
US-10393775-B2,Current-measuring device and method for determining an electric current,"The present disclosure relates to electrical conductors. The teachings herein may be embodied a current-measuring devices and/or methods for determining an electric current in an electrical conductor. For example, a method for determining a magnitude of an electric current in an electrical conductor may include: measuring output signals from a plurality of magnetic-field sensors arrayed around the electrical conductor; setting a compensation current through a compensation coil surrounding the plurality of magnetic-field sensors based on detected output variables of the magnetic-field sensors; and determining the magnitude of the electric current through the electrical conductor based on the set compensation current through the compensation coil., The present disclosure relates to electrical conductors. The teachings herein may be embodied a current-measuring devices and/or methods for determining an electric current in an electrical conductor. For example, a method for determining a magnitude of an electric current in an electrical conductor may include: measuring output signals from a plurality of magnetic-field sensors arrayed around the electrical conductor; setting a compensation current through a compensation coil surrounding the plurality of magnetic-field sensors based on detected output variables of the magnetic-field sensors; and determining the magnitude of the electric current through the electrical conductor based on the set compensation current through the compensation coil."
US-2014159180-A1,Semiconductor resistor structure and semiconductor photomultiplier device,"According to embodiments of the present invention, a semiconductor resistor structure is provided. The semiconductor resistor structure includes a substrate, a first region of a first conductivity type in the substrate, a second region of the first conductivity type in the substrate, the first region and the second region arranged one over the other, and an intermediate region of a second conductivity type in between the first region and the second region, wherein at least one gap is defined through the intermediate region and overlapping with the first region and the second region. According to further embodiments of the present invention, a semiconductor photomultiplier device is also provided."
US-4528509-A,Spatially selective NMR,"In a method of high resolution pulsed NMR spectroscopy, the r.f. field is deliberately made inhomogeneous and a special pulse sequence is used to ensure that the received signals emanate predominantly from a selected region of the sample. Thus, the acquisition pulse (70) from which the FID signal (72) results is preceded by a preparatory treatment involving at least one r.f. pulse (66) which is a 180° pulse in respect of nuclei of interest in the selected region, preferably followed by a d.c. pulse (68) giving rise to a magnetic field gradient superimposed on the main alignment field., In a method of high resolution pulsed NMR spectroscopy, the r.f. field is deliberately made inhomogeneous and a special pulse sequence is used to ensure that the received signals emanate predominantly from a selected region of the sample. Thus, the acquisition pulse (70) from which the FID signal (72) results is preceded by a preparatory treatment involving at least one r.f. pulse (66) which is a 180 DEG  pulse in respect of nuclei of interest in the selected region, preferably followed by a d.c. pulse (68) giving rise to a magnetic field gradient superimposed on the main alignment field."
US-4990633-A,"Fluorinated bisaryloxy-substituted alkenes, process for their preparation and their use","New fluorinated bisaryloxy-substituted alkenes are prepared by reaction of substituted phenols with perhaloalkenes and can be used as electrical insulating agents., New fluorinated bisaryloxy-substituted alkenes are prepared by reaction of substituted phenols with perhaloalkenes and can be used as electrical insulating agents."
US-11106155-B2,Image-forming apparatus with reduced number of motors for moving developing rollers and altering rotation speed ratio of developing rollers to photosensitive drums,"An image-forming apparatus includes: a process motor; a developing motor; a sheet conveying device; first and second photosensitive drums rotatable by a driving force from the process motor; first and second developing rollers and first and second cams each rotatable by a driving force from the developing motor; a switching mechanism, and a controller. Rotation of each cam causes each developing roller to move between a contact position in contact with the corresponding photosensitive drum and a separated position away from the corresponding photosensitive drum. The controller allows the switching mechanism to transmit the driving force from the developing motor to each cam such that a timing of contact between the second developing roller and the second photosensitive drum in a low speed mode is coincident with or earlier than a timing of contact between the second developing roller and the second photosensitive drum in a normal mode., An image-forming apparatus includes: a process motor; a developing motor; a sheet conveying device; first and second photosensitive drums rotatable by a driving force from the process motor; first and second developing rollers and first and second cams each rotatable by a driving force from the developing motor; a switching mechanism, and a controller. Rotation of each cam causes each developing roller to move between a contact position in contact with the corresponding photosensitive drum and a separated position away from the corresponding photosensitive drum. The controller allows the switching mechanism to transmit the driving force from the developing motor to each cam such that a timing of contact between the second developing roller and the second photosensitive drum in a low speed mode is coincident with or earlier than a timing of contact between the second developing roller and the second photosensitive drum in a normal mode."
US-4159959-A,Thiophosphonate dispersant combination,"A lubricating oil of outstanding detergency contains an alkaline earth metal aliphatic sulfonate and an ester of a monohydroxyalkyl hydrocarbyl thiophosphonate., A lubricating oil of outstanding detergency contains an alkaline earth metal aliphatic sulfonate and an ester of a monohydroxyalkyl hydrocarbyl thiophosphonate."
US-2006044836-A1,Backlight modules and assembly methods thereof,"Backlight modules and assembly methods thereof are provided. A backlight module includes a light guide plate, a lamp module, and two locating members. The lamp module includes a first end, a second end. Each locating member is disposed on the first end and the second end respectively. The lamp module is disposed on the light guide plate by abutting the locating members and the light guide plate."
US-10331105-B2,Machine for self-adjusting its operation to compensate for part-to-part variations,"A machine which repetitively performs an operation, or operations, on mass-produced parts which are subject to part-to-part variations compensates for such variations by self-adjustment of its operation, or operations, at a location, or locations, where an operation, or operations, is, or are, performed., A machine which repetitively performs an operation, or operations, on mass-produced parts which are subject to part-to-part variations compensates for such variations by self-adjustment of its operation, or operations, at a location, or locations, where an operation, or operations, is, or are, performed."
US-7182661-B2,Detachable surfboard fin system,"A system for attaching fins to surfboards that utilizes fixing elements embedded in the body of the board, the elements having slots that receive footings extending from the end of the fin. The footings are removably secured by a passive wedge clip fixing system, enabling fins to be removed for transport or upon damage by hand or simple tool. Screws can also be used for attachment."
US-11153437-B2,Call flow management,"In a voice response unit (VRU) that is one of a plurality of VRU&#39;s, a call flow can be selected for an inbound voice call based on an identifier for the inbound voice call. A parameter can then be written to at least one directory server, the parameter specified to replace a default parameter for the selected call flow. The selected call flow can be invoked according to the parameter., In a voice response unit (VRU) that is one of a plurality of VRU&#39;s, a call flow can be selected for an inbound voice call based on an identifier for the inbound voice call. A parameter can then be written to at least one directory server, the parameter specified to replace a default parameter for the selected call flow. The selected call flow can be invoked according to the parameter."
US-2008173295-A1,Safety controller of gas stove,"A safety controller includes a housing including a base and a cover. The base has a main member with a chamber therein, an input channel, an output channel, a gas channel, a check port between the gas channel and the chamber, a lid member with an open end communicated with the chamber. A support member is provided in the chamber. A film resides between the lid member and the cover to separate a space into an inner pressure room and an outer pressure room. A control device is provided in the chamber with an end connected to the film to control a flow rate of gas flowing to the gas channel from the chamber. A pressure up electromagnetic valve and an exhaust electromagnetic valve are provided beside the cover to be activated to change pressures in the inner and outer pressure room respectively to make the film deforming."
US-2012245672-A1,Endovascular Grafts and Methods of Use,"Endoluminal grafts include an endoluminal graft body and at least one vessel ingrowth component affixed to the endoluminal graft body. Endoluminal grafts can include luminal fabric and stent components that are longitudinally extendable from a first, collapsed configuration to a second, extended configuration. Endoluminal grafts can include at least one stent fixed with a proximal portion of a graft body that also includes a distal portion or a proximal portion of an endoluminal graft body retractable over at least a portion of the remaining graft body. Endoluminal grafts can be employed in methods of delivering stent grafts in patients at an aneurysm site."
US-10909218-B2,System and method for providing a content consumption journal to users in a multi-device environment,"A system and method for providing content consumption data to users in a multi-device environment. Activity data from a plurality of UE devices associated with a subscriber account are obtained when one or more users tied to the subscriber account consume content on one or more UE devices. The activity data may be correlated with one or more pieces of information relating to the consumed content. When a journal request is received from a user operating a UE device associated with the subscriber account, a response is generated containing data for presentation in a journal format that includes correlated subscriber activity data for the subscriber account over a select period of time., A system and method for providing content consumption data to users in a multi-device environment. Activity data from a plurality of UE devices associated with a subscriber account are obtained when one or more users tied to the subscriber account consume content on one or more UE devices. The activity data may be correlated with one or more pieces of information relating to the consumed content. When a journal request is received from a user operating a UE device associated with the subscriber account, a response is generated containing data for presentation in a journal format that includes correlated subscriber activity data for the subscriber account over a select period of time."
US-5245747-A,Device for tightening threaded joints,"The invention concerns a device for tightening threaded joints in two subsequent steps, namely a first step during which a joint is tightened to a predetermined torque snug level and a second step during which the joint is further tightened up to a final predetermined pretension level. During the second tightening step the angle speed of the power tool (10) is gradually increased at a predetermined rate. The power tool (10) comprises an electric brushless motor which is supplied with power from a variable frequency output inverter (11), and the gradual increase in angle speed of the power tool (10) is accomplished by a gradually increased output frequency and voltage from the power supply means (11)."
US-9608229-B2,"Organic EL lighting panel substrate, organic EL lighting panel, and organic EL lighting device","Disclosed is an organic EL lighting panel substrate that can improve the uniformity in luminance and chromaticity in an organic EL lighting panel plane and can suppress deterioration in reliability due to disconnection and the like caused by an auxiliary electrode. The organic EL lighting panel substrate ( 10 ) includes: a light-transmitting substrate ( 11 ); and a transparent electrode ( 12 ). The transparent electrode ( 12 ) is arranged on one surface of the light-transmitting substrate ( 11 ). The organic EL lighting panel substrate ( 10 ) further includes an auxiliary electrode ( 13 ) electrically connected to the transparent electrode ( 12 ). The light-transmitting substrate ( 11 ) has a groove ( 11   c ), and the auxiliary electrode ( 13 ) is arranged in the groove ( 11   c ) of the light-transmitting substrate ( 11 ). The auxiliary electrode ( 13 ) is formed of a material having a volume resistivity at 20° C. in the range from 1.59×10 −8  to 13×10 −8  Ω·m."
